Question,Response,Category
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
